condition,final_S_mM,recomputed_v_mM_per_s,recomputed_v_mM_per_min,legacy_v_mM_per_s,legacy_v_mM_per_min,delta_v_mM_per_s,delta_v_mM_per_min,relative_delta_v_pct,recomputed_sd_mM_per_s,recomputed_sd_mM_per_min,legacy_sd_mM_per_s,legacy_sd_mM_per_min
5 mM inhibitor,10.0,0.00019182816139531197,0.011509689683718719,0.0001934469927092485,0.01160681956255491,-1.6188313139365229e-06,-9.712987883619137e-05,-0.8368345722332484,3.7753903122290795e-06,0.00022652341873374477,3.4524579805326385e-06,0.0002071474788319583
5 mM inhibitor,7.5,0.0001868123893380162,0.011208743360280972,0.00018811564158201753,0.011286938494921052,-1.3032522440013187e-06,-7.819513464007912e-05,-0.6927931314170421,6.095434728812092e-06,0.00036572608372872553,6.205983588412251e-06,0.000372359015304735
5 mM inhibitor,5.0,0.00017506674475630015,0.010504004685378009,0.00017608567812125607,0.010565140687275364,-1.0189333649559173e-06,-6.113600189735504e-05,-0.5786577169860798,6.9424876737785305e-06,0.0004165492604267118,6.972824771888115e-06,0.0004183694863132869
5 mM inhibitor,3.75,0.0001686226796914439,0.010117360781486633,0.0001693505955650208,0.010161035733901248,-7.279158735769113e-07,-4.367495241461468e-05,-0.4298277612477801,1.1599992634900219e-05,0.0006959995580940132,1.1503727999621501e-05,0.0006902236799772901
5 mM inhibitor,2.5,0.00014126331405052761,0.008475798843031656,0.00014177389716839444,0.008506433830103667,-5.10583117866825e-07,-3.06349870720095e-05,-0.3601390157599822,1.539202943631802e-05,0.0009235217661790811,1.535465066671787e-05,0.0009212790400030723
5 mM inhibitor,2.0,0.0001267355124796186,0.0076041307487771164,0.00012716422366896454,0.007629853420137872,-4.287111893459296e-07,-2.5722671360755775e-05,-0.33713192042280365,1.1455058204739922e-05,0.0006873034922843953,1.1447364040346273e-05,0.0006868418424207764
5 mM inhibitor,1.25,8.644708074472923e-05,0.005186824844683754,8.665473772706868e-05,0.005199284263624121,-2.0765698233945497e-07,-1.2459418940367298e-05,-0.23963719444111634,6.166500406302919e-06,0.0003699900243781751,6.1956729857434954e-06,0.0003717403791446097
5 mM inhibitor,0.625,5.4987420065433034e-05,0.003299245203925982,5.512436947314078e-05,0.0033074621683884466,-1.3694940770774482e-07,-8.21696446246469e-06,-0.24843714135265185,3.062770604986251e-06,0.00018376623629917505,3.089933628368306e-06,0.00018539601770209836
5 mM inhibitor,0.125,1.3178403330832269e-05,0.0007907041998499361,1.3199987748351425e-05,0.0007919992649010855,-2.158441751915628e-08,-1.2950650511493769e-06,-0.16351846630957673,4.521825197455771e-07,2.7130951184734624e-05,4.6334265589533316e-07,2.780055935371999e-05
5 mM inhibitor,0.0,-4.91975861384849e-07,-2.951855168309094e-05,1.4960234211551292e-07,8.976140526930775e-06,-6.415782035003619e-07,-3.849469221002171e-05,-428.8557213930369,1.240809994611844e-06,7.444859967671064e-05,1.296027138089076e-07,7.776162828534455e-06
10 mM inhibitor,10.0,0.0001306482463726597,0.00783889478235958,0.000132044534899,0.00792267209394,-1.3962885263403232e-06,-8.377731158041939e-05,-1.0574375739278683,2.910660184842979e-06,0.00017463961109057873,2.939255572020373e-06,0.00017635533432122237
10 mM inhibitor,7.5,0.00012725949282215254,0.0076355695693291524,0.0001282962891533,0.007697777349198001,-1.0367963311474755e-06,-6.220777986884853e-05,-0.8081265155756902,2.381890591042552e-06,0.0001429134354625531,2.3701994300003e-06,0.000142211965800018
10 mM inhibitor,5.0,0.0001280462076262127,0.007682772457572762,0.0001288366438815,0.00773019863289,-7.904362552872907e-07,-4.742617531723744e-05,-0.6135181975201944,2.576174599458317e-06,0.00015457047596749904,2.5844348325561156e-06,0.00015506608995336695
10 mM inhibitor,3.75,0.00011970494669044872,0.007182296801426923,0.0001203316390887,0.007219898345322,-6.266923982512732e-07,-3.760154389507639e-05,-0.5208043395713406,3.1511418683244852e-06,0.0001890685120994691,3.263822434252566e-06,0.00019582934605515397
10 mM inhibitor,2.5,0.00010077838968718801,0.0060467033812312805,0.0001011118317233,0.0060667099033980005,-3.334420361119901e-07,-2.0006522166719407e-05,-0.3297754876249091,8.341513633322593e-06,0.0005004908179993556,8.302956133104727e-06,0.0004981773679862836
10 mM inhibitor,2.0,8.182578252485249e-05,0.00490954695149115,8.213615156297273e-05,0.004928169093778364,-3.1036903812024156e-07,-1.8622142287214494e-05,-0.3778714149789275,2.9304427813347495e-06,0.00017582656688008497,2.8782631065451595e-06,0.00017269578639270958
10 mM inhibitor,1.25,5.842455248279344e-05,0.0035054731489676063,5.867761117094904e-05,0.0035206566702569424,-2.5305868815560527e-07,-1.5183521289336316e-05,-0.4312695815416787,7.635416902436579e-08,4.581250141461947e-06,7.134712230124809e-08,4.280827338074886e-06
10 mM inhibitor,0.625,3.0065605023662573e-05,0.0018039363014197543,3.018841291644397e-05,0.0018113047749866381,-1.2280789278139737e-07,-7.368473566883842e-06,-0.4068047337278288,9.940238143867696e-07,5.964142886320617e-05,9.10899079640015e-07,5.46539447784009e-05
10 mM inhibitor,0.125,7.413875272699663e-06,0.0004448325163619798,7.48383855707209e-06,0.00044903031342432545,-6.996328437242723e-08,-4.197797062345634e-06,-0.9348582794629263,4.1916957826585105e-07,2.5150174695951063e-05,4.930618220610597e-07,2.9583709323663585e-05
10 mM inhibitor,0.0,9.378057266942665e-08,5.6268343601655985e-06,4.391312529759095e-08,2.634787517855457e-06,4.98674473718357e-08,2.9920468423101417e-06,113.55932203388721,1.931013707330525e-07,1.1586082243983151e-05,7.605976413456292e-08,4.563585848073775e-06
