condition,I_initial_mM,final_S_initial_mM,v_mean_mM_per_s,v_mean_mM_per_min,v_sd_mM_per_s,v_sd_mM_per_min,pNP_final_mM,pNP_avg_mM,S_final_est_mM,S_avg_est_mM,Pi_final_est_mM,Pi_avg_est_mM,percent_S_depleted,percent_I_increase_vs_initial
5 mM inhibitor,5.0,0.125,1.3178403330832269e-05,0.0007907041998499361,4.521825197455771e-07,2.7130951184734624e-05,0.009339949605667459,0.0054220056808114165,0.11566005039433254,0.11957799431918859,5.009339949605668,5.005422005680812,7.471959684533967,0.1867989921133492
5 mM inhibitor,5.0,0.0,-4.91975861384849e-07,-2.951855168309094e-05,1.240809994611844e-06,7.444859967671064e-05,0.0,0.0,0.0,0.0,5.0,5.0,nan,0.0
10 mM inhibitor,10.0,10.0,0.0001306482463726597,0.00783889478235958,2.910660184842979e-06,0.00017463961109057873,0.09875243160142472,0.05825113285238096,9.901247568398576,9.941748867147618,10.098752431601424,10.058251132852382,0.9875243160142471,0.9875243160142471
10 mM inhibitor,10.0,7.5,0.00012725949282215254,0.0076355695693291524,2.381890591042552e-06,0.0001429134354625531,0.09483925113422809,0.05529659823913845,7.405160748865772,7.4447034017608615,10.094839251134228,10.055296598239138,1.2645233484563745,0.9483925113422809
10 mM inhibitor,10.0,5.0,0.0001280462076262127,0.007682772457572762,2.576174599458317e-06,0.00015457047596749904,0.0955037534777143,0.05395925750126205,4.904496246522286,4.946040742498738,10.095503753477715,10.053959257501262,1.910075069554286,0.955037534777143
10 mM inhibitor,10.0,3.75,0.00011970494669044872,0.007182296801426923,3.1511418683244852e-06,0.0001890685120994691,0.08867414605855035,0.04958878509876306,3.6613258539414497,3.700411214901237,10.088674146058551,10.049588785098763,2.364643894894676,0.8867414605855035
10 mM inhibitor,10.0,2.5,0.00010077838968718801,0.0060467033812312805,8.341513633322593e-06,0.0005004908179993556,0.07479343043906038,0.04041436564675974,2.4252065695609395,2.4595856343532403,10.07479343043906,10.04041436564676,2.9917372175624153,0.7479343043906038
10 mM inhibitor,10.0,2.0,8.182578252485249e-05,0.00490954695149115,2.9304427813347495e-06,0.00017582656688008497,0.06017437888236347,0.03352283327802358,1.9398256211176366,1.9664771667219765,10.060174378882364,10.033522833278024,3.0087189441181734,0.6017437888236347
10 mM inhibitor,10.0,1.25,5.842455248279344e-05,0.0035054731489676063,7.635416902436579e-08,4.581250141461947e-06,0.04315573552974411,0.02382205175465662,1.206844264470256,1.2261779482453434,10.043155735529744,10.023822051754657,3.452458842379529,0.4315573552974411
10 mM inhibitor,10.0,0.625,3.0065605023662573e-05,0.0018039363014197543,9.940238143867696e-07,5.964142886320617e-05,0.02215007811620742,0.012511221542412637,0.6028499218837926,0.6124887784575873,10.022150078116207,10.012511221542413,3.5440124985931867,0.22150078116207417
10 mM inhibitor,10.0,0.125,7.413875272699663e-06,0.0004448325163619798,4.1916957826585105e-07,2.5150174695951063e-05,0.005500602732191508,0.0032141430556797746,0.11949939726780849,0.12178585694432023,10.00550060273219,10.00321414305568,4.400482185753207,0.055006027321915084
10 mM inhibitor,10.0,0.0,9.378057266942665e-08,5.6268343601655985e-06,1.931013707330525e-07,1.1586082243983151e-05,0.0,0.0,0.0,0.0,10.0,10.0,nan,0.0
